taxon	min_age	max_age
Psittacosaurus_mongolensis	100.5	143.1
Yinlong_downsi	154.8	162.2
Wannanosaurus_yansiensis	69.1	83.6
Goyocephale_lattimorei	72.2	83.6
Homalocephale_calathocercos	66	72.2
Tylocephale_gilmorei	72.2	77.9
Prenocephale_prenes	66	72.2
Foraminacephale_brevis	74.44	77.5
Colepiocephale_lambei	79.5	80.1
Stegoceras_validum	74.44	76.47
Pachycephalosaurus_wyomingensis	66	69.1
Alaskacephale_gongloffi	69.1	77.9
Sphaerotholus_buchholtzae	66	66.298
Sphaerotholus_edmontonensis	69.6	70.896
Sphaerotholus_goodwini	73	74
Acrotholus_audeti	83.6	83.99
Amtocephale_gobienses	83.6	100.5
Sinocephale_bexelli	66	92
